

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-04-12T14:47:45PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
119|WISEA J100049.78+332105.8|150.20737 |  33.35165 |QSO|521728| 1.740297 |SLS |21.2g|  0.000|13|0|17|5|5|4|0
120|SDSS J100050.21+574609.2|150.20925 |  57.76921 |G|191722| 0.639514 |SLS |19.9g|  0.000|13|0|26|8|4|4|0
121|WISEA J100050.69+505946.5|150.21122 |  50.99625 |QSO| 64441| 0.214951 |SLS |18.1g|  0.000|28|0|69|13|15|10|0
122|TON 1138|150.21362 |  35.25064 |QSO|461811| 1.540435 |SLS |17.5g|  0.000|34|0|52|11|13|8|0
123|WISEA J100052.13+383056.9|150.21725 |  38.51581 |G| 44191| 0.147405 |SLS |19.1g|  0.000|7|0|51|6|4|8|0
124|WISEA J100052.22+450010.6|150.21753 |  45.00304 |QSO|770461| 2.569980 |SLS |20.2g|  0.000|29|0|38|7|11|8|0
125|WISEA J100052.78+405123.0|150.21988 |  40.85648 |QSO|726617| 2.423734 |SLS |20.1g|  0.000|13|0|17|6|5|4|0
126|WISEA J100052.83+513928.5|150.22013 |  51.65794 |QSO|405668| 1.353164 |SLS |18.9g|  0.000|33|0|41|13|19|8|0
127|WISEA J100053.25+562947.2|150.22191 |  56.49647 |QSO|132719| 0.442704 |SLS |21.0g|  0.000|8|0|49|5|5|8|1
128|WISEA J100053.69+565910.2|150.22371 |  56.98619 |QSO|513121| 1.711588 |SLS |20.0g|  0.000|23|0|43|6|13|8|0
129|WISEA J100053.78+590345.8|150.22409 |  59.06273 |UvES|420309| 1.402000 |SLS |20.3r|  0.000|5|0|20|4|3|4|0
130|SBS 0957+555|150.22457 |  55.26915 |QSO|479375| 1.599023 |SLS |18.6g|  0.000|37|1|56|10|14|8|1
131|WISEA J100054.35+450328.9|150.22657 |  45.05803 |QSO|794304| 2.649511 |SLS |20.1g|  0.000|28|0|38|9|14|8|0
132|WISEA J100054.62+315940.1|150.22757 |  31.99456 |QSO|990964| 3.305500 |SLS |20.4g|  0.000|25|0|38|9|14|8|0
133|87GB 095727.5+581939|150.22776 |  58.09059 |RadioS|449689| 1.500000 |UUN | 1.89|  0.000|13|0|5|5|1|0|0
134|SBS 0957+537B|150.22788 |  53.53500 |QSO|403126| 1.344682 |SLS |18.5g|  0.000|57|2|44|18|18|8|0
135|SDSS J100054.97+541144.5|150.22911 |  54.19564 |QSO|961083| 3.205828 |SLS |20.1g|  0.000|30|0|26|5|12|8|0
136|WISEA J100055.22+444722.0|150.23010 |  44.78945 |QSO|129544| 0.432112 |SLS |19.3g|  0.000|26|0|41|8|13|8|0
137|WISEA J100055.60+415513.8|150.23169 |  41.92052 |QSO|401674| 1.339841 |SLS |18.8g|  0.000|34|0|39|10|16|8|1
138|WISEA J100055.71+314001.3|150.23216 |  31.66703 |G| 58347| 0.194625 |SLS |17.4g|  0.000|47|0|74|19|20|10|0
139|WISEA J100055.88+524948.6|150.23285 |  52.83017 |QSO|539419| 1.799309 |SLS |19.4g|  0.000|33|0|46|10|15|8|0
140|WISEA J100056.60+554059.8|150.23587 |  55.68328 |G|311179| 1.037980 |SLS |19.07|  0.000|28|0|51|14|9|7|1
141|WISEA J100056.94+303228.8|150.23727 |  30.54134 |QSO|266425| 0.888698 |SLS |18.2g|  0.000|24|0|41|8|11|8|0
142|WISEA J100058.79+364210.7|150.24496 |  36.70299 |QSO|428053| 1.427832 |SLS |19.5g|  0.000|27|0|48|8|10|8|0
143|WISEA J100058.87+551915.8|150.24532 |  55.32107 |QSO|456178| 1.521647 |SLS |19.1g|  0.000|33|0|58|11|14|8|0
144|WISEA J100100.22+413537.9|150.25078 |  41.59392 |*|919475| 3.067038 |SLS |20.7g|  0.000|10|0|17|5|4|4|0
145|SDSS J100100.50+304909.1|150.25210 |  30.81922 |QSO|513644| 1.713332 |SLS |21.6g|  0.000|14|0|5|5|6|4|0
146|WISEA J100101.79+302923.6|150.25746 |  30.48991 |QSO|329625| 1.099509 |SLS |19.2g|  0.000|25|0|41|8|11|8|0
